customer_id,segment,city,signup_date
1,Premium,Hyderabad,2024-05-29
2,Retail,Bengaluru,2023-04-23
3,Premium,Delhi,2024-09-11
4,Premium,Kolkata,2024-02-01
5,Retail,Pune,2023-10-13
6,Business,Pune,2024-06-22
7,Premium,Delhi,2023-05-31
8,Premium,Hyderabad,2023-12-22
9,Retail,Bengaluru,2022-10-12
10,Retail,Kolkata,2024-08-21
11,Retail,Hyderabad,2023-09-16
12,Business,Kolkata,2024-02-22
13,Retail,Chennai,2023-04-06
14,Premium,Mumbai,2024-05-16
15,Retail,Pune,2022-03-16
16,Retail,Pune,2022-04-25
17,Retail,Hyderabad,2023-05-23
18,Retail,Hyderabad,2024-01-03
19,Premium,Chennai,2024-03-20
20,Retail,Kolkata,2023-03-17
21,Premium,Hyderabad,2023-10-12
22,Retail,Chennai,2023-07-08
23,Business,Hyderabad,2024-08-19
24,Premium,Chennai,2023-10-17
25,Premium,Chennai,2023-02-21
26,Retail,Hyderabad,2024-08-27
27,Retail,Chennai,2022-04-18
28,Retail,Kolkata,2024-09-11
29,Retail,Kolkata,2022-06-04
30,Premium,Hyderabad,2022-10-16
31,Premium,Mumbai,2024-04-01
32,Business,Mumbai,2024-01-04
33,Retail,Delhi,2024-08-28
34,Retail,Mumbai,2024-01-20
35,Retail,Pune,2023-09-30
36,Retail,Pune,2022-12-13
37,Retail,Pune,2022-01-05
38,Retail,Mumbai,2022-05-04
39,Retail,Hyderabad,2022-10-25
40,Premium,Kolkata,2022-02-10
41,Retail,Bengaluru,2023-05-24
42,Premium,Chennai,2024-02-17
43,Premium,Kolkata,2024-08-21
44,Retail,Hyderabad,2023-05-05
45,Premium,Hyderabad,2024-05-25
46,Premium,Hyderabad,2024-09-12
47,Retail,Mumbai,2024-05-09
48,Retail,Hyderabad,2023-04-10
49,Premium,Pune,2022-11-22
50,Retail,Chennai,2024-09-04
51,Retail,Kolkata,2022-08-30
52,Retail,Pune,2023-02-16
53,Premium,Kolkata,2022-03-16
54,Premium,Mumbai,2024-03-04
55,Premium,Bengaluru,2023-10-12
56,Premium,Pune,2022-03-26
57,Retail,Mumbai,2022-08-10
58,Retail,Hyderabad,2023-07-10
59,Retail,Chennai,2023-06-25
60,Retail,Pune,2024-03-13
61,Premium,Kolkata,2022-09-24
62,Retail,Kolkata,2024-07-13
63,Retail,Hyderabad,2023-03-21
64,Premium,Pune,2024-04-02
65,Retail,Pune,2022-08-27
66,Retail,Chennai,2022-02-06
67,Retail,Pune,2022-02-25
68,Retail,Pune,2023-01-08
69,Retail,Delhi,2024-08-11
70,Retail,Hyderabad,2022-02-18
71,Retail,Delhi,2023-01-04
72,Retail,Mumbai,2022-04-20
73,Premium,Hyderabad,2024-07-20
74,Retail,Hyderabad,2023-11-07
75,Retail,Chennai,2024-02-02
76,Retail,Delhi,2023-12-15
77,Retail,Delhi,2023-10-20
78,Premium,Pune,2024-02-13
79,Retail,Delhi,2022-01-09
80,Premium,Chennai,2024-05-15
81,Premium,Hyderabad,2024-01-10
82,Retail,Pune,2024-01-10
83,Premium,Delhi,2023-01-29
84,Retail,Mumbai,2024-03-11
85,Retail,Pune,2023-01-17
86,Retail,Pune,2022-02-18
87,Premium,Hyderabad,2024-06-26
88,Retail,Mumbai,2022-08-23
89,Retail,Hyderabad,2022-04-12
90,Retail,Mumbai,2023-09-14
91,Retail,Hyderabad,2022-08-22
92,Premium,Chennai,2024-05-08
93,Retail,Delhi,2023-03-20
94,Retail,Kolkata,2022-01-05
95,Retail,Pune,2024-08-09
96,Retail,Chennai,2023-05-30
97,Retail,Delhi,2022-09-20
98,Retail,Hyderabad,2023-11-09
99,Retail,Hyderabad,2023-06-15
100,Business,Chennai,2022-01-30
101,Business,Hyderabad,2024-01-30
102,Premium,Hyderabad,2023-02-06
103,Retail,Mumbai,2023-12-01
104,Business,Kolkata,2024-06-14
105,Premium,Delhi,2023-09-03
106,Premium,Chennai,2023-11-03
107,Retail,Bengaluru,2022-09-12
108,Retail,Mumbai,2022-08-26
109,Retail,Bengaluru,2023-02-20
110,Business,Hyderabad,2024-05-02
111,Retail,Pune,2023-06-09
112,Retail,Mumbai,2022-12-15
113,Retail,Bengaluru,2024-02-19
114,Retail,Kolkata,2024-05-03
115,Retail,Chennai,2024-06-21
116,Premium,Delhi,2022-10-26
117,Premium,Delhi,2023-12-11
118,Premium,Pune,2023-08-14
119,Retail,Mumbai,2023-03-25
120,Retail,Chennai,2023-02-01
121,Retail,Kolkata,2022-04-25
122,Retail,Chennai,2022-10-02
123,Retail,Delhi,2023-07-04
124,Retail,Mumbai,2024-06-05
125,Retail,Mumbai,2024-05-16
126,Retail,Kolkata,2022-07-07
127,Retail,Delhi,2023-11-11
128,Retail,Bengaluru,2022-03-26
129,Retail,Bengaluru,2023-11-07
130,Retail,Chennai,2022-12-08
131,Retail,Delhi,2023-03-26
132,Business,Chennai,2023-12-19
133,Retail,Mumbai,2023-03-01
134,Retail,Chennai,2024-03-18
135,Retail,Delhi,2023-06-18
136,Retail,Kolkata,2024-09-25
137,Business,Mumbai,2023-10-01
138,Retail,Mumbai,2022-10-24
139,Premium,Delhi,2024-02-15
140,Retail,Delhi,2023-02-12
141,Retail,Chennai,2023-06-19
142,Retail,Bengaluru,2022-05-17
143,Business,Kolkata,2022-04-30
144,Retail,Delhi,2023-07-29
145,Retail,Hyderabad,2022-07-06
146,Retail,Hyderabad,2024-09-24
147,Retail,Kolkata,2024-05-05
148,Retail,Hyderabad,2023-12-02
149,Retail,Kolkata,2024-01-05
150,Retail,Mumbai,2023-08-19
151,Premium,Hyderabad,2022-03-02
152,Premium,Bengaluru,2023-01-28
153,Retail,Chennai,2023-05-11
154,Retail,Bengaluru,2024-07-04
155,Retail,Pune,2022-08-08
156,Premium,Chennai,2023-05-12
157,Retail,Bengaluru,2022-12-11
158,Premium,Chennai,2022-05-15
159,Premium,Kolkata,2022-04-14
160,Premium,Bengaluru,2023-01-01
161,Retail,Mumbai,2022-03-24
162,Business,Bengaluru,2022-03-09
163,Retail,Pune,2022-12-17
164,Retail,Mumbai,2022-07-21
165,Retail,Kolkata,2023-07-09
